 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V739 1 71 180 71 1.027462837 1.016442403 12 10 12 2 4 2 90 0 6 46 41 10 5 50 
V740 1 65 120 65 -0.48425296 -0.910401747 7 7 7 2 8 1 100 18 6.5 48 48 7 2 30 
V741 1 64 120 64 -0.736205593 -0.910401747 7 50 7 2 1 1 100 13 6.5 42 42 6 2 50 
V742 1 60 125 60 -1.744016125 -0.749831401 6 12 6 2 1 1 76 300 7.5 39 39 4 2 100 
V743 1 67 115 67 0.019652305 -1.070972093 9 20 9 4 2 2 90 130 8.5 51 52 2 1 52 
V744 1 65 165 65 -0.48425296 0.534731366 8.5 6 8.5 2 2 1 90 0 7 42 45 8 1 50 
V745 1 66 160 66 -0.232300328 0.37416102 9 30 9 3 1 4 91 100 8.5 53 50 5 2 50 
V746 1 64 140 64 -0.736205593 -0.268120364 9 20 9 2 1 2 95 23 8 45 45 3 1 90 
V747 1 65 118 65 -0.48425296 -0.974629885 7 10 7 4 2 2 60 20 7 53 58 7 2 60 
V748 1 67 154 67 0.019652305 0.181476605 8.5 14 8.5 2 1 1 90 40 7 50 50 9 1 50 
V749 1 64 120 64 -0.736205593 -0.910401747 7 11 7 4 1 1 80 140 8 53 55 6 1 20 
V750 1 60 105 60 -1.744016125 -1.392112785 6 20 6 3 6 3 100 1 7.5 43 43 5 2 50 
V751 1 63 140 63 -0.988158226 -0.268120364 7.5 15 7.5 2 2 2 60 15 8 49 49 2 1 10 
V752 1 64 115 64 -0.736205593 -1.070972093 6.5 12 6.5 2 0 1 75 106 7.5 51 49 6 1 50 
V753 1 64 136 64 -0.736205593 -0.39657664 7 15 7 1 8 4 91 0 7 59 55 7 2 50 
V754 1 62 100 62 -1.240110859 -1.55268313 8 20 8 2 10 1 70 200 8 42 45 10 3 100 
V755 0 67 140 0 0.019652305 -0.268120364 8.5 10 0 3 2 3 70 1 8 52 47 9 2 100 
V756 0 70 166 0 0.775510204 0.566845435 10.5 4 0 3 1 1 115 42 6.5 47 52 5 2 95 
V757 1 65 125 65 -0.48425296 -0.749831401 8 22 8 2 5 1 80 150 7 49 51 2 5 30 
V758 1 61 136 61 -1.492063492 -0.39657664 7.5 10 7.5 3 7 5 70 9 8.5 43 45 7 2 90 
V759 0 71 163 0 1.027462837 0.470503227 11 11 0 3 4 7 90 8 7 50 65 6 2 90 
V760 1 63 145 63 -0.988158226 -0.107550018 8 24 8 2 3 2 85 30 8 48 47 8 2 50 
V761 1 67 170 67 0.019652305 0.695301712 8 25 8 3 6 2 108 0 7 46 44 4 3 90 
V762 0 72 190 0 1.27941547 1.337583095 11.5 5 0 4 8 4 106 70 7 45 47 6 6 20 
V763 1 70 165 70 0.775510204 0.534731366 11 30 11 2 0 1 98 6 7 51 52 8 3 10 
V764 1 67 170 67 0.019652305 0.695301712 9 40 9 4 15 3 90 80 8 55 65 5 1 30 
V765 0 75 180 0 2.035273369 1.016442403 11 6 0 3 1 2 90 15 7 50 51 4 2 10 
V766 1 62 120 62 -1.240110859 -0.910401747 7 40 7 2 3 2 50 150 6.5 42 41 7 2 20 
V767 1 66 187 66 -0.232300328 1.241240888 10 32 10 2 3 3 85 21 7 50 42 5 4 60 
V768 1 63 175 63 -0.988158226 0.855872058 8.5 8 8.5 3 0 4 86 15 6 40 46 7 2 95 
V769 0 72 180 0 1.27941547 1.016442403 10.5 6 0 2 2 2 100 20 4 53 57 9 2 15 
V770 0 72 155 0 1.27941547 0.213590674 12 6 0 4 1 1 105 20 7 46 56 1 2 30 
V771 0 72 164 0 1.27941547 0.502617297 11 5 0 2 5 1 120 400 7.5 59 61 2 2 10 
V772 1 71 185 71 1.027462837 1.177012749 12 6 12 2 4 2 100 14 5 44 39 9 4 50 
V773 1 67 117 67 0.019652305 -1.006743955 8 10 8 2 2 1 80 0 8 57 57 6 3 10 
V774 1 64 135 64 -0.736205593 -0.428690709 7.5 25 7.5 2 30 2 105 0 6 51 52 6 2 60 
V775 0 67 155 0 0.019652305 0.213590674 10 8 0 2 4 1 110 5 6.5 46 46 8 2 50 
V776 1 62 116 62 -1.240110859 -1.038858024 5.5 11 5.5 2 4 0 20 11 6.5 43 45 7 3 60 
V777 0 72 195 0 1.27941547 1.498153441 11 3 0 2 3 2 110 0 8 58 65 10 4 100 
V778 1 67 187 67 0.019652305 1.241240888 9.5 78 9.5 4 13 4 100 120 6.5 52 51 3 1 20 
V779 0 66 128 0 -0.232300328 -0.653489194 9 8 0 3 3 4 20 1000 6 42 44 6 1 45 
V780 0 68 174 0 0.271604938 0.823757988 11 8 0 3 3 1 95 61 5.5 51 53 4 4 50 
V781 1 67 136 67 0.019652305 -0.39657664 9 10 9 2 2 4 68 300 7 37 39 6 2 45 
V782 1 65 128 65 -0.48425296 -0.653489194 8 20 8 2 0 1 77 0 7 54 56 2 2 50 
V783 1 68 130 68 0.271604938 -0.589261055 8 19 8 2 2 2 90 130 7 50 50 8 4 40 
V784 1 65 131 65 -0.48425296 -0.557146986 8.5 25 8.5 4 3 2 110 5 6.5 56 54 2 2 50 
V785 1 60 132 60 -1.744016125 -0.525032917 8 14 8 2 0 2 100 0 6 57 63 7 2 33 
V786 1 68 145 68 0.271604938 -0.107550018 9 20 9 3 5 3 110 3 6 56 56 8 2 100 
V787 0 68 156 0 0.271604938 0.245704743 10 12 0 2 1 2 100 90 7 50 50 8 1 49 
V788 1 66 120 66 -0.232300328 -0.910401747 8 15 8 2 4 3 100 85 8 55 55 2 1 50 
V789 1 62 140 62 -1.240110859 -0.268120364 8 25 8 2 1 1 90 102 7 40 46 6 2 50 
V790 0 75 189 0 2.035273369 1.305469026 12 7 0 2 3 2 95 1000 8 54 56 2 3 15 
V791 1 68 180 68 0.271604938 1.016442403 9 8 9 2 2 1 106 9 6 54 59 3 4 60 
V792 1 62 141 62 -1.240110859 -0.236006294 7 4 7 2 1 2 90 3 5 57 58 3 2 50 
V793 1 62 140 62 -1.240110859 -0.268120364 7.5 20 7.5 3 5 4 110 67 7 56 62 4 2 5 
V794 1 62 130 62 -1.240110859 -0.589261055 8 10 8 3 2 2 100 0 7 47 46 7 2 50 
V795 1 70 150 70 0.775510204 0.053020328 9.5 11 9.5 2 6 1 20 18 7 52 56 2 2 50 
V796 0 69 160 0 0.523557571 0.37416102 9 6 0 2 0 1 100 18 7 48 50 4 2 90 
V797 0 70 155 0 0.775510204 0.213590674 11 4 0 2 0 1 95 6 7 49 47 7 2 40 
V798 1 68 180 68 0.271604938 1.016442403 9.5 12 9.5 3 2 1 75 60 7 53 49 6 2 100 
V799 1 66 155 66 -0.232300328 0.213590674 9 15 9 2 15 7 67 0 8 46 51 6 2 75 
V800 1 69 178 69 0.523557571 0.952214265 8 22 8 3 3 0 100 17 8 56 60 1 2 25 
V801 0 73 177 0 1.531368103 0.920100196 11.5 9 0 2 5 4 110 48 6 50 52 8 2 85 
V802 1 64 138 64 -0.736205593 -0.332348502 8.5 21 8.5 2 2 3 30 5 7.5 42 45 4 4 50 
V803 1 67 160 67 0.019652305 0.37416102 8.5 10 8.5 3 8 1 85 15 7 54 55 6 0 75 
V804 0 70 160 0 0.775510204 0.37416102 10.5 7 0 3 3 4 90 6 7 51 65 3 2 50 
V805 0 66 145 0 -0.232300328 -0.107550018 9 5 0 2 6 0 93 6 7 55 65 7 2 2 
V806 1 66 125 66 -0.232300328 -0.749831401 8 15 8 2 1 1 88 25 7 54 58 5 1 60 
V807 0 70 190 0 0.775510204 1.337583095 11 6 0 2 1 2 100 60 7 50 57 7 5 40 
V808 1 70 130 70 0.775510204 -0.589261055 8 20 8 3 5 1 83 0 8 56 65 5 2 50 
V809 1 65 120 65 -0.48425296 -0.910401747 7 27 7 3 4 1 102 11 7 47 47 7 2 20 
V810 1 64 150 64 -0.736205593 0.053020328 8.5 18 8.5 2 4 1 120 45 7 62 61 3 2 90 
V811 1 64 108 64 -0.736205593 -1.295770577 8 15 8 2 3 1 90 107 9 52 55 2 2 80 
V812 1 68 135 68 0.271604938 -0.428690709 10 25 10 2 1 4 80 20 8 54 56 5 3 100 
V813 0 70 130 0 0.775510204 -0.589261055 11 4 0 2 1 3 85 90 8 51 62 2 3 10 
V814 1 71 176 71 1.027462837 0.887986127 11.5 12 11.5 2 2 0 90 0 6 57 59 7 2 10 
V815 1 62 110 62 -1.240110859 -1.231542439 6.5 20 6.5 2 1 1 120 50 6 45 48 4 1 85 
V816 1 61 120 61 -1.492063492 -0.910401747 6 21 6 3 10 2 82 15 5 43 42 7 1 70 
V817 0 73 225 0 1.531368103 2.461575516 11.5 6 0 3 10 0 90 15 6 60 60 7 2 10 
V818 0 72 185 0 1.27941547 1.177012749 11 6 0 2 5 1 110 700 7 52 52 5 6 50 
V819 1 63 157 63 -0.988158226 0.277818812 7.5 20 7.5 2 2 1 100 17 8 54 47 6 3 75 
V820 1 74 155 74 1.783320736 0.213590674 11.5 10 11.5 3 5 2 95 30 9.5 52 55 8 2 50 
V821 0 68 175 0 0.271604938 0.855872058 11.5 1 0 3 2 3 110 20 6 42 42 5 5 2 
V822 1 63 108 63 -0.988158226 -1.295770577 7 88 7 2 5 12 198 0 4 36 35 1 0 0 
V823 1 65 140 65 -0.48425296 -0.268120364 7 10 7 3 3 2 100 80 5 49 51 5 2 5 
V824 0 71 140 0 1.027462837 -0.268120364 10 5 0 1 2 1 120 80 10 46 47 6 1 15 
V825 1 67 122 67 0.019652305 -0.846173609 8 20 8 3 4 2 60 3 9 48 48 3 2 50 
V826 1 61 100 61 -1.492063492 -1.55268313 6 20 6 2 1 1 80 50 8 52 54 5 1 80 
V827 1 62 125 62 -1.240110859 -0.749831401 7.5 15 7.5 2 0 2 80 50 7.5 53 54 8 1 99 
V828 1 66 150 66 -0.232300328 0.053020328 7 15 7 2 0 1 70 200 7 39 39 3 4 20 
V829 0 71 170 0 1.027462837 0.695301712 10 15 0 3 3 2 130 1000 7 37 39 10 1 30 
V830 1 68 155 68 0.271604938 0.213590674 10 36 10 2 0 1 50 17 8.5 55 65 6 2 15 
V831 0 73 205 0 1.531368103 1.819294133 12.5 4 0 2 0 3 110 14 6.5 55 57 10 2 0 
V832 1 61 105 61 -1.492063492 -1.392112785 6.5 13 6.5 2 1 4 60 40 9 42 42 4 2 85 
V833 1 65 111 65 -0.48425296 -1.19942837 6 70 6 3 0 1 70 0 6 50 55 9 2 40 
V834 1 66 125 66 -0.232300328 -0.749831401 8.5 14 8.5 3 1 6 60 20 6 59 59 6 2 60 
V835 1 66 150 66 -0.232300328 0.053020328 10 25 10 2 1 2 75 20 8 49 52 9 2 85 
V836 1 65 145 65 -0.48425296 -0.107550018 8.5 30 8.5 3 2 3 85 35 8.5 51 53 7 2 30 
V837 0 67 140 0 0.019652305 -0.268120364 10 5 0 2 2 2 95 15 7 48 50 4 3 100 
V838 1 62 170 62 -1.240110859 0.695301712 7 12 7 3 1 2 80 10 7 39 52 4 1 5 
V839 1 69 135 69 0.523557571 -0.428690709 9 21 9 2 1 1 88 17 6.5 52 56 4 3 75 
V840 0 74 130 0 1.783320736 -0.589261055 11 22 0 2 2 1 101 83 7 51 50 2 6 0 
V841 0 70 180 0 0.775510204 1.016442403 12 7 0 3 1 2 120 0 5.5 48 48 2 3 100 
V842 0 72 202 0 1.27941547 1.722951925 13 3 0 2 4 2 97 5 7 48 50 5 1 4 
V843 1 63 136 63 -0.988158226 -0.39657664 7 13 7 2 3 2 100 25 8 55 59 6 2 100 
V844 0 73 158 0 1.531368103 0.309932882 12 12 0 2 1 1 102 20 8.5 57 54 8 1 35 
V845 0 70 125 0 0.775510204 -0.749831401 9.5 12 0 2 2 2 90 40 7 51 51 9 2 15 
V846 0 71 150 0 1.027462837 0.053020328 13 5 0 2 2 3 110 8 7 52 53 7 6 50 
V847 0 70 145 0 0.775510204 -0.107550018 10.5 2 0 2 2 1 80 50 6 44 45 4 1 20 
V848 1 66 175 66 -0.232300328 0.855872058 9 12 9 2 9 1 75 0 8.5 50 53 7 2 35 
V849 1 67 138 67 0.019652305 -0.332348502 8.5 24 8.5 3 6 2 100 0 8.5 42 44 3 1 25 
V850 1 70 150 70 0.775510204 0.053020328 10 26 10 2 1 3 105 40 7 48 48 7 3 20 
V851 1 66 128 66 -0.232300328 -0.653489194 11 8 11 2 0 6 75 15 6.5 47 65 8 1 70 
V852 1 64 116 64 -0.736205593 -1.038858024 7 22 7 2 2 1 80 20 9 51 49 4 2 50 
V853 1 63 140 63 -0.988158226 -0.268120364 7 11 7 4 0 2 66 40 8.5 49 55 2 1 25 
V854 1 67 200 67 0.019652305 1.658723787 9 30 9 3 8 2 85 1 7 44 44 3 2 60 
V855 1 53 160 53 -3.507684555 0.37416102 8.5 20 8.5 4 2 3 90 120 6.5 54 54 8 2 10 
V856 1 69 168 69 0.523557571 0.631073573 10 13 10 3 1 2 90 11 7.5 49 55 6 3 75 
V857 0 71 170 0 1.027462837 0.695301712 10.5 6 0 3 8 3 115 23 6 54 53 7 5 5 
V858 1 62 125 62 -1.240110859 -0.749831401 7.5 10 7.5 2 1 2 75 10 6 53 52 7 3 75 
V859 1 66 134 66 -0.232300328 -0.460804779 8 10 8 2 0 2 90 0 7 58 58 9 2 20 
V860 1 63 127 63 -0.988158226 -0.685603263 7.5 26 7.5 2 1 1 95 52 8.5 48 46 9 2 45 
V861 1 64 117 64 -0.736205593 -1.006743955 7 14 7 2 2 1 100 40 8 53 56 3 1 90 
V862 1 68 135 68 0.271604938 -0.428690709 9 9 9 2 2 2 95 25 6 50 55 8 6 3 
V863 1 61 108 61 -1.492063492 -1.295770577 6 25 6 2 0 2 90 100 9 51 54 8 1 25 
V864 1 66 143 66 -0.232300328 -0.171778156 9 6 9 3 17 5 105 9 7 46 50 6 1 70 
V865 0 70 187 0 0.775510204 1.241240888 9 7 0 3 2 0 130 100 5 49 52 1 4 100 
V866 1 67 124 67 0.019652305 -0.78194547 8 20 8 3 1 1 100 40 7 50 50 4 2 98 
V867 1 65 130 65 -0.48425296 -0.589261055 8 10 8 2 0 2 100 120 6 50 51 8 5 50 
V868 1 65 120 65 -0.48425296 -0.910401747 7.5 10 7.5 3 0 2 62 93 7 56 63 3 1 50 
V869 0 73 137 0 1.531368103 -0.364462571 10.5 9 0 2 14 1 90 36 8 51 49 4 2 40 
V870 0 74 260 0 1.783320736 3.585567937 13 11 0 2 4 3 115 50 7.5 52 53 7 2 50 
V871 1 68 150 68 0.271604938 0.053020328 11 15 11 2 1 1 85 60 6.5 55 56 8 2 90 
V872 1 66 150 66 -0.232300328 0.053020328 8 20 8 2 10 1 110 30 6 52 52 7 2 50 
V873 1 64 131 64 -0.736205593 -0.557146986 8.5 15 8.5 2 2 1 100 20 7.5 51 51 3 2 93 
V874 1 65 132 65 -0.48425296 -0.525032917 8.5 8 8.5 2 1 1 80 21 7 45 47 2 5 40 
V875 1 63 130 63 -0.988158226 -0.589261055 6.5 12 6.5 3 4 3 90 1 6 57 65 6 6 60 
V876 1 64 138 64 -0.736205593 -0.332348502 8 10 8 2 3 3 100 3 7.5 54 54 8 3 100 
V877 0 64 160 0 -0.736205593 0.37416102 10 9 0 2 0 1 88 0 6.5 51 52 1 1 25 
V878 0 62 130 0 -1.240110859 -0.589261055 8.5 4 0 3 0 1 85 0 7 53 57 6 2 25 
V879 1 70 235 70 0.775510204 2.782716208 11 13 11 2 5 1 77 27 7 50 56 4 1 80 
V880 0 69 165 0 0.523557571 0.534731366 11 10 0 2 1 2 115 12 7 49 49 7 2 10 
V881 1 62 128 62 -1.240110859 -0.653489194 7 44 7 2 2 2 94 37 7 53 54 4 4 100 
V882 1 68 177 68 0.271604938 0.920100196 9 40 9 3 8 1 92 62 7 45 62 7 4 99 
V883 1 65 136 65 -0.48425296 -0.39657664 8.5 15 8.5 2 1 5 95 3 7 53 54 7 1 100 
V884 1 64 110 64 -0.736205593 -1.231542439 6 12 6 2 1 0 80 600 8 49 49 6 1 20 
V885 1 62 150 62 -1.240110859 0.053020328 8 5 8 2 11 4 70 0 8 51 53 7 2 94 
V886 0 70 150 0 0.775510204 0.053020328 10 6 0 3 0 1 80 0 7.5 49 57 3 2 90 
V887 1 60 98 60 -1.744016125 -1.616911269 6.5 20 6.5 2 4 2 30 80 6 35 41 7 1 75 
V888 1 65 110 65 -0.48425296 -1.231542439 7 4 7 2 0 1 49 20 7 46 51 7 2 67 
V889 0 71 172 0 1.027462837 0.75952985 11 8 0 2 0 1 137 0 6 54 59 7 4 90 
V890 1 71 230 71 1.027462837 2.622145862 12 6 12 2 6 4 90 40 8 37 44 4 1 20 
V891 1 69 170 69 0.523557571 0.695301712 9.5 15 9.5 4 6 0 120 22 7 47 49 7 1 100 
V892 0 73 233 0 1.531368103 2.71848807 10.5 3 0 3 6 1 110 110 6.5 56 58 4 5 60 
V893 1 65 140 65 -0.48425296 -0.268120364 9 7 9 4 3 2 90 0 5.5 52 57 3 1 100 
V894 1 66 125 66 -0.232300328 -0.749831401 7 15 7 2 0 1 100 20 8 50 50 4 3 10 
V895 1 64 140 64 -0.736205593 -0.268120364 9 15 9 2 3 2 90 30 7 51 52 10 2 50 
V896 1 61 120 61 -1.492063492 -0.910401747 6.5 5 6.5 2 0 1 120 4 6.5 45 48 8 3 60 
V897 1 68 160 68 0.271604938 0.37416102 9 20 9 2 2 1 100 23 7.5 47 48 6 2 40 
V898 1 65 145 65 -0.48425296 -0.107550018 9 50 9 2 1 2 100 5 6 54 52 4 2 80 
V899 1 64 115 64 -0.736205593 -1.070972093 7.5 15 7.5 2 0 3 70 27 7 45 46 7 1 50 
V900 0 71 178 0 1.027462837 0.952214265 10.5 6 0 3 14 0 110 3 7.5 53 58 7 3 92 
V901 1 63 135 63 -0.988158226 -0.428690709 8 20 8 2 6 2 110 5 7 44 51 6 2 100 
V902 0 76 177 0 2.287226002 0.920100196 11 3 0 2 2 1 100 20 9.5 51 55 6 2 35 
V903 0 77 175 0 2.539178634 0.855872058 12 7 0 2 4 1 90 45 7.5 47 57 8 4 25 
V904 1 69 293 69 0.523557571 4.64533222 11 10 11 2 1 0 60 102 8 54 50 2 2 99 
V905 1 64 135 64 -0.736205593 -0.428690709 8 8 8 2 1 1 85 22 8 56 55 7 1 20 
V906 1 64 130 64 -0.736205593 -0.589261055 7.5 18 7.5 3 20 1 90 20 7.5 56 57 2 3 25 
V907 0 71 135 0 1.027462837 -0.428690709 9.5 4 0 2 0 0 60 20 7 50 52 10 6 51 
V908 1 69 130 69 0.523557571 -0.589261055 11 17 11 2 2 1 100 80 7.5 52 54 6 2 70 
V909 1 62 120 62 -1.240110859 -0.910401747 7 20 7 2 3 4 95 0 6.5 46 55 5 1 60 
V910 1 62 120 62 -1.240110859 -0.910401747 7 30 7 2 5 3 85 0 7 44 51 3 1 50 
V911 1 61 127 61 -1.492063492 -0.685603263 6.5 30 6.5 2 0 1 100 67 6 50 50 4 1 70 
V912 1 63 125 63 -0.988158226 -0.749831401 7.5 30 7.5 2 1 2 85 105 8 56 52 7 1 50 
V913 0 74 165 0 1.783320736 0.534731366 10.5 8 0 3 6 1 112 20 6.5 54 56 7 1 70 
V914 1 68 195 68 0.271604938 1.498153441 9.5 20 9.5 2 1 1 90 30 5.5 53 55 5 2 10 
V915 1 67 130 67 0.019652305 -0.589261055 9 20 9 2 3 1 90 20 7 49 50 4 1 95 
V916 0 69 160 0 0.523557571 0.37416102 13 4 0 1 0 1 70 500 9 55 60 7 6 80 
V917 1 67 170 67 0.019652305 0.695301712 9.5 10 9.5 3 3 3 115 2 9 41 45 6 2 75 
V918 0 68 210 0 0.271604938 1.979864479 11 5 0 4 2 1 110 60 6 53 54 5 2 10 
V919 0 69 155 0 0.523557571 0.213590674 10 6 0 2 1 1 110 52 7 44 49 5 2 10 
V920 1 63 93 63 -0.988158226 -1.777481615 6 45 6 2 4 2 90 0 8 52 52 3 2 35 
V921 0 70 156 0 0.775510204 0.245704743 9 16 0 2 2 0 82 29 7 51 52 9 1 100 
V922 1 65 180 65 -0.48425296 1.016442403 9.5 15 9.5 2 0 2 200 1 7 54 62 7 1 50 
V923 1 62 125 62 -1.240110859 -0.749831401 6.5 23 6.5 3 0 1 120 14 7.5 53 60 7 2 50 
V924 1 67 130 67 0.019652305 -0.589261055 9 35 9 2 8 1 85 22 6.5 48 55 3 2 70 
V925 1 64 138 64 -0.736205593 -0.332348502 8 15 8 2 2 2 100 0 7 51 52 6 3 50 
V926 1 62 128 62 -1.240110859 -0.653489194 7.5 15 7.5 3 2 0 72 0 7 53 49 8 1 50 
V927 0 70 155 0 0.775510204 0.213590674 10.5 3 0 3 6 2 100 10 6 50 51 7 2 20 
V928 1 63 134 63 -0.988158226 -0.460804779 6 16 6 3 5 2 98 120 7 43 46 9 6 75 
V929 0 66 170 0 -0.232300328 0.695301712 9.5 3 0 2 10 1 110 0 6 45 45 7 2 0 
V930 0 71 165 0 1.027462837 0.534731366 11 4 0 3 1 1 95 80 7.5 50 51 9 1 25 
V931 1 66 180 66 -0.232300328 1.016442403 10 12 10 2 2 1 60 4 6.5 47 48 8 2 42 
V932 1 67 130 67 0.019652305 -0.589261055 8 70 8 2 5 3 100 10 8 55 58 9 1 50 
V933 0 70 140 0 0.775510204 -0.268120364 9.5 6 0 2 2 1 120 50 5 53 53 3 2 20 
V934 1 65 140 65 -0.48425296 -0.268120364 8.5 40 8.5 2 5 1 114 20 8 47 54 8 2 100 
V935 1 63 130 63 -0.988158226 -0.589261055 7 15 7 2 0 1 65 30 6 48 49 8 2 50 
V936 1 68 135 68 0.271604938 -0.428690709 8.5 28 8.5 3 1 3 85 25 7.5 52 53 5 2 50 
V937 0 71 235 0 1.027462837 2.782716208 12 3 0 3 0 1 105 42 6 47 51 8 3 100 
V938 1 69 150 69 0.523557571 0.053020328 9 14 9 3 2 2 105 53 6.5 53 53 3 2 40 
V939 1 68 123 68 0.271604938 -0.814059539 10 20 10 2 3 4 85 50 8.5 46 46 4 2 100 
V940 0 72 205 0 1.27941547 1.819294133 11.5 9 0 2 5 2 95 60 7.5 50 52 8 3 50 
V941 1 65 110 65 -0.48425296 -1.231542439 6 15 6 2 10 2 110 8 8 54 57 9 2 50 
V942 1 64 112 64 -0.736205593 -1.1673143 6 6 6 1 4 6 85 2 8 42 45 7 5 50 
V943 1 61 107 61 -1.492063492 -1.327884646 6.5 20 6.5 2 1 2 65 30 7.5 43 46 7 2 50 
V944 1 67 155 67 0.019652305 0.213590674 9.5 8 9.5 2 0 2 70 0 7 45 49 7 1 100 
V945 0 69 135 0 0.523557571 -0.428690709 10 4 0 2 4 5 145 10 6 63 59 3 2 50 
V946 1 65 140 65 -0.48425296 -0.268120364 7 12 7 2 1 2 100 100 4.5 49 52 4 2 20 
V947 1 69 150 69 0.523557571 0.053020328 9 20 9 2 2 0 95 20 7 51 53 10 2 50 
V948 0 65 110 0 -0.48425296 -1.231542439 8 10 0 2 0 4 70 34 7 57 62 8 5 5 
V949 1 64 145 64 -0.736205593 -0.107550018 8 11 8 2 12 1 95 75 7.5 52 49 8 2 100 
V950 1 71 171 71 1.027462837 0.727415781 9.5 12 9.5 3 0 0 100 14 7 42 53 7 3 40 
V951 0 73 210 0 1.531368103 1.979864479 11.5 40 0 2 4 2 125 500 7.5 47 57 1 1 0 
V952 1 65 121 65 -0.48425296 -0.878287678 9 17 9 2 6 1 90 20 7.5 48 49 4 2 50 
V953 1 65 145 65 -0.48425296 -0.107550018 8 8 8 2 0 0 80 40 7 46 44 7 2 10 
V954 0 70 183 0 0.775510204 1.112784611 13 6 0 3 0 3 90 1 7 47 47 3 3 20 
V955 1 62 112 62 -1.240110859 -1.1673143 6.5 20 6.5 2 3 2 100 20 5 42 42 2 2 50 
V956 1 67 145 67 0.019652305 -0.107550018 9 45 9 2 4 2 95 150 7 51 57 9 3 90 
V957 0 74 165 0 1.783320736 0.534731366 12 20 0 3 7 1 157 43 8 48 52 7 2 99 
V958 1 65 160 65 -0.48425296 0.37416102 8.5 15 8.5 2 2 2 105 45 8 57 59 8 2 90 
V959 0 69 170 0 0.523557571 0.695301712 11 3 0 2 4 1 55 22 8 46 51 7 2 100 
V960 0 72 175 0 1.27941547 0.855872058 11 12 0 2 2 2 107 3 8.5 53 52 7 3 15 
V961 1 62 165 62 -1.240110859 0.534731366 8 9 8 2 2 1 80 5 6.5 56 51 2 2 70 
V962 1 68 138 68 0.271604938 -0.332348502 8 15 8 2 0 1 105 8 7.5 55 56 3 4 0 
V963 1 66 145 66 -0.232300328 -0.107550018 9.5 8 9.5 2 0 2 112 60 12 49 51 4 2 75 
V964 1 64 125 64 -0.736205593 -0.749831401 6.5 40 6.5 2 3 0 40 200 8 50 50 3 2 50 
V965 0 72 175 0 1.27941547 0.855872058 11 3 0 2 4 1 145 200 4 54 55 3 1 0 
V966 1 64 155 64 -0.736205593 0.213590674 8 20 8 4 2 1 85 11 7.5 48 48 9 1 80 
V967 1 67 150 67 0.019652305 0.053020328 8 15 8 2 3 3 100 30 7 53 53 7 2 25 
V968 0 72 156 0 1.27941547 0.245704743 13 3 0 3 0 3 90 0 7 43 45 1 3 25 
V969 1 62 120 62 -1.240110859 -0.910401747 7 40 7 2 25 6 80 5 7 38 37 4 2 50 
V970 1 64 112 64 -0.736205593 -1.1673143 7 30 7 3 6 3 25 0 8 58 49 6 2 50 
