 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V150 1 68 125 68 0.271604938 -0.749831401 10 10 10 2 5 1 90 0 7.5 49 49 1 2 70 
V151 1 66 145 66 -0.232300328 -0.107550018 8.5 17 8.5 4 2 4 120 17 8.5 45 51 6 2 80 
V152 1 64 125 64 -0.736205593 -0.749831401 8 30 8 4 4 4 110 1 6.5 43 52 6 3 90 
V153 1 67 140 67 0.019652305 -0.268120364 8.5 20 8.5 2 4 2 100 15 6 53 52 4 2 60 
V154 0 72 167 0 1.27941547 0.598959504 13 5 0 2 2 2 110 20 7 42 44 5 3 25 
V155 1 64 120 64 -0.736205593 -0.910401747 8 15 8 2 0 1 70 50 7 50 60 7 2 50 
V156 0 71 145 0 1.027462837 -0.107550018 9.5 10 0 2 0 1 120 10 6.5 46 51 7 1 10 
V157 0 74 196 0 1.783320736 1.53026751 14 6 0 2 0 1 110 30 6.5 48 49 7 4 33 
V158 0 74 175 0 1.783320736 0.855872058 12.5 6 0 2 1 1 90 30 7 46 46 8 2 70 
V159 1 66 135 66 -0.232300328 -0.428690709 8.5 20 8.5 3 12 2 90 65 6.5 39 40 7 3 100 
V160 1 64 115 64 -0.736205593 -1.070972093 6 12 6 2 3 2 90 100 7.5 60 60 2 2 90 
V161 1 69 130 69 0.523557571 -0.589261055 10 20 10 2 0 1 100 500 7 49 50 3 4 75 
V162 1 64 143 64 -0.736205593 -0.171778156 7 15 7 2 1 2 90 0 7 46 50 7 3 100 
V163 1 70 146 70 0.775510204 -0.075435948 10 30 10 2 4 4 45 22 5 40 45 7 2 95 
V164 1 68 138 68 0.271604938 -0.332348502 8.5 30 8.5 2 3 0 90 19 8 50 62 6 3 90 
V165 1 64 139 64 -0.736205593 -0.300234433 8 10 8 2 0 2 80 0 7 48 51 9 2 75 
V166 1 64 126 64 -0.736205593 -0.717717332 7.5 15 7.5 4 3 3 100 4 7 58 63 9 2 40 
V167 0 73 173 0 1.531368103 0.791643919 11 7 0 2 2 1 105 30 5.5 58 54 6 1 25 
V168 0 74 165 0 1.783320736 0.534731366 12 8 0 2 0 4 105 71 7 53 53 2 2 75 
V169 1 63 115 63 -0.988158226 -1.070972093 7 21 7 4 4 1 95 40 8 51 63 9 3 50 
V170 0 72 160 0 1.27941547 0.37416102 10.5 4 0 2 4 1 110 2 9.5 52 52 8 1 15 
V171 0 72 200 0 1.27941547 1.658723787 11.5 7 0 2 4 1 95 6 8 39 42 3 2 100 
V172 1 72 165 72 1.27941547 0.534731366 11 6 11 4 2 1 90 31 6 53 53 4 2 15 
V173 0 73 175 0 1.531368103 0.855872058 12 3 0 2 0 1 125 71 8 49 49 5 3 25 
V174 1 63 110 63 -0.988158226 -1.231542439 7 15 7 2 5 2 97 7 8 52 53 4 3 10 
V175 1 63 112 63 -0.988158226 -1.1673143 6.5 12 6.5 2 0 1 90 30 7.5 46 46 3 2 100 
V176 0 71 175 0 1.027462837 0.855872058 10.5 10 0 2 0 6 95 20 6 48 65 1 2 25 
V177 1 68 145 68 0.271604938 -0.107550018 12 13 12 2 4 1 95 100 7 48 46 3 2 20 
V178 1 66 130 66 -0.232300328 -0.589261055 8 26 8 2 2 1 109 8 8 55 60 8 3 50 
V179 0 68 150 0 0.271604938 0.053020328 10.5 7 0 2 0 1 105 8 7 55 58 6 2 75 
V180 1 63 108 63 -0.988158226 -1.295770577 6 8 6 2 0 0 70 150 7 48 54 5 2 5 
V181 0 65 135 0 -0.48425296 -0.428690709 9 3 0 2 7 2 80 0 6.5 45 48 7 3 50 
V182 1 64 120 64 -0.736205593 -0.910401747 7.5 15 7.5 2 1 3 50 200 7 39 46 4 2 50 
V183 1 62 130 62 -1.240110859 -0.589261055 7 70 7 2 0 2 60 0 7.5 43 48 7 3 100 
V184 1 59 85 59 -1.995968758 -2.034394168 5 20 5 1 2 0 80 40 9 55 54 8 2 25 
V185 0 75 180 0 2.035273369 1.016442403 13 3 0 2 0 1 100 50 7 53 50 4 5 0 
V186 1 68 140 68 0.271604938 -0.268120364 8.5 6 8.5 3 3 1 90 50 7 52 52 7 2 65 
V187 1 65 111 65 -0.48425296 -1.19942837 7 20 7 2 4 3 100 20 5.5 50 58 8 2 75 
V188 1 66 120 66 -0.232300328 -0.910401747 7.5 25 7.5 2 10 2 90 5 8 43 44 2 1 50 
V189 0 65 160 0 -0.48425296 0.37416102 8.5 8 0 3 5 2 115 300 8 49 55 10 5 5 
V190 1 62 114 62 -1.240110859 -1.103086162 7 32 7 2 0 3 85 22 6.5 51 61 8 2 25 
V191 1 66 125 66 -0.232300328 -0.749831401 8.5 13 8.5 3 1 1 90 56 7 54 64 4 2 50 
V192 0 72 160 0 1.27941547 0.37416102 10 3 0 4 2 1 85 62 8 50 51 2 2 5 
V193 0 77 250 0 2.539178634 3.264427246 17 4 0 2 2 1 135 2 8 51 54 10 5 5 
V194 1 70 163 70 0.775510204 0.470503227 10 7 10 4 1 1 75 32 7.5 46 46 4 2 50 
V195 1 65 135 65 -0.48425296 -0.428690709 8.5 15 8.5 2 1 1 105 4 10 47 47 10 4 95 
V196 1 65 110 65 -0.48425296 -1.231542439 7.5 15 7.5 2 0 0 120 150 7.5 47 49 10 5 40 
V197 0 68 142 0 0.271604938 -0.203892225 9.5 4 0 2 2 4 114 0 6.5 56 59 10 4 100 
V198 1 63 110 63 -0.988158226 -1.231542439 7.5 27 7.5 2 4 4 110 10 9 52 52 7 1 30 
V199 1 69 110 69 0.523557571 -1.231542439 7.5 13 7.5 3 3 2 85 150 7 56 55 9 3 60 
V200 0 71 148 0 1.027462837 -0.01120781 9.5 7 0 2 2 1 107 14 7 50 49 4 2 30 
V201 1 66 140 66 -0.232300328 -0.268120364 7.5 15 7.5 2 5 1 95 40 8.5 48 48 7 3 75 
V202 1 68 135 68 0.271604938 -0.428690709 7.5 10 7.5 2 0 1 88 600 7.5 49 49 9 1 90 
V203 0 68 175 0 0.271604938 0.855872058 10.5 6 0 2 2 1 85 2 6 43 44 4 2 36 
V204 1 67 150 67 0.019652305 0.053020328 8.5 21 8.5 2 0 1 110 10 6.5 49 50 4 2 30 
V205 1 68 165 68 0.271604938 0.534731366 10 11 10 2 0 1 85 2 7 50 65 6 1 95 
V206 1 64 130 64 -0.736205593 -0.589261055 8 30 8 2 15 1 89 20 6.5 52 55 8 2 100 
V207 0 76 185 0 2.287226002 1.177012749 11 8 0 2 1 0 25 25 7 47 45 5 1 80 
V208 1 63 120 63 -0.988158226 -0.910401747 6.5 35 6.5 2 4 2 90 15 6.5 57 57 9 1 95 
